year,state,Auto,Bus,Truck,Motorcycle
1923,District of Columbia,67624.0,0.0,7187.0,1772.0
1923,Florida,128704.0,0.0,23531.0,975.0
1923,Georgia,151420.0,0.0,22469.0,1011.0
1923,Hawaii,0.0,0.0,0.0,0.0
1923,Idaho,57200.0,0.0,5179.0,655.0
1923,Illinois,847005.0,0.0,122521.0,7611.0
1923,Indiana,510114.0,0.0,73228.0,6042.0
1923,Iowa,536215.0,0.0,36905.0,3044.0
1923,Kansas,349038.0,0.0,26556.0,1950.0
1923,Kentucky,177834.0,0.0,20543.0,844.0
1923,Louisiana,116003.0,0.0,20619.0,400.0
1923,Maine,92995.0,0.0,15978.0,1400.0
1923,Maryland,145942.0,0.0,24374.0,4846.0
1923,Massachusetts,407645.0,0.0,67305.0,11033.0
1923,Michigan,659412.0,0.0,72318.0,4165.0
1923,Minnesota,399404.0,0.0,48783.0,3220.0
1923,Mississippi,93846.0,0.0,10440.0,114.0
1923,Missouri,430340.0,0.0,46258.0,2570.0
1923,Montana,65449.0,0.0,8379.0,374.0
1923,Nebraska,259382.0,0.0,26671.0,1608.0
1923,Nevada,13699.0,0.0,2000.0,112.0
1923,New Hampshire,52863.0,0.0,7412.0,1987.0
1923,New Jersey,341853.0,0.0,89349.0,8811.0
1923,New Mexico,26732.0,0.0,5300.0,215.0
1923,New York,1001974.0,0.0,205985.0,22153.0
1923,North Carolina,226288.0,0.0,21324.0,1300.0
1923,North Dakota,105979.0,0.0,3287.0,645.0
1923,Ohio,927200.0,0.0,141900.0,15000.0
1923,Oklahoma,288424.0,0.0,18576.0,823.0
1923,Oregon,145494.0,0.0,20500.0,3140.0
1923,Pennsylvania,880711.0,0.0,167461.0,19220.0
1923,Rhode Island,62382.0,0.0,13930.0,1575.0
1923,South Carolina,116193.0,0.0,11598.0,547.0
1923,South Dakota,121164.0,0.0,10536.0,471.0
1923,Tennessee,154181.0,0.0,19184.0,751.0
1923,Texas,640433.0,0.0,47800.0,3346.0
1923,Utah,51625.0,0.0,7900.0,766.0
1923,Vermont,49420.0,0.0,3356.0,839.0
1923,Virginia,188173.0,0.0,30919.0,1813.0
1923,Washington,221164.0,0.0,37100.0,3560.0
1923,West Virginia,137184.0,0.0,21000.0,1353.0
1923,Wisconsin,422718.0,0.0,34553.0,5645.0
1923,Wyoming,35294.0,0.0,4537.0,291.0
1924,Alabama,138574.0,0.0,18688.0,549.0
